Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S08000015,,0-44 years,,Males,,Coronary Heart Disease,6,,6.381688808,,6.721442637
2012,S08000015,,0-44 years,,Females,,Coronary Heart Disease,1,,1.035550447,,0.911024173
2012,S08000015,,45-64 years,,Males,,Coronary Heart Disease,80,,154.1158566,,152.6498475
2012,S08000015,,45-64 years,,Females,,Coronary Heart Disease,25,,44.52994193,,44.11231123
2012,S08000015,,65-74 years,,Males,,Coronary Heart Disease,90,,455.996352,,467.4588977
2012,S08000015,,65-74 years,,Females,,Coronary Heart Disease,28,,127.2322443,,128.1994406
2012,S08000015,,75plus years,,Males,,Coronary Heart Disease,185,,1422.092398,,1538.080969
2012,S08000015,,75plus years,,Females,,Coronary Heart Disease,222,,1119.515885,,1086.153299
2012,S08000016,,0-44 years,,Males,,Coronary Heart Disease,2,,7.469096613,,6.38098103
2012,S08000016,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000016,,45-64 years,,Males,,Coronary Heart Disease,18,,105.0910789,,102.934075
2012,S08000016,,45-64 years,,Females,,Coronary Heart Disease,6,,34.05801215,,35.04813361
2012,S08000016,,65-74 years,,Males,,Coronary Heart Disease,24,,359.9280144,,359.6814086
2012,S08000016,,65-74 years,,Females,,Coronary Heart Disease,9,,125.0868659,,125.2132304
2012,S08000016,,75plus years,,Males,,Coronary Heart Disease,71,,1540.130152,,1802.043864
2012,S08000016,,75plus years,,Females,,Coronary Heart Disease,69,,1067.450495,,1019.502515
2012,S08000017,,0-44 years,,Males,,Coronary Heart Disease,2,,5.6490792,,6.362592433
2012,S08000017,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000017,,45-64 years,,Males,,Coronary Heart Disease,27,,121.703854,,122.3524364
2012,S08000017,,45-64 years,,Females,,Coronary Heart Disease,6,,25.93585199,,25.72247823
2012,S08000017,,65-74 years,,Males,,Coronary Heart Disease,25,,275.0275028,,281.9005679
2012,S08000017,,65-74 years,,Females,,Coronary Heart Disease,23,,235.3181911,,239.6230581
2012,S08000017,,75plus years,,Males,,Coronary Heart Disease,79,,1209.24537,,1345.363708
2012,S08000017,,75plus years,,Females,,Coronary Heart Disease,91,,1016.987036,,1010.224207
2012,S08000019,,0-44 years,,Males,,Coronary Heart Disease,4,,4.8828125,,5.165598214
2012,S08000019,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000019,,45-64 years,,Males,,Coronary Heart Disease,45,,110.3400927,,112.2667676
2012,S08000019,,45-64 years,,Females,,Coronary Heart Disease,12,,28.39631794,,28.96229562
2012,S08000019,,65-74 years,,Males,,Coronary Heart Disease,58,,423.9766082,,433.5987636
2012,S08000019,,65-74 years,,Females,,Coronary Heart Disease,24,,156.1889887,,159.7120102
2012,S08000019,,75plus years,,Males,,Coronary Heart Disease,122,,1359.028629,,1506.651954
2012,S08000019,,75plus years,,Females,,Coronary Heart Disease,144,,1072.306203,,1063.615518
2012,S08000020,,0-44 years,,Males,,Coronary Heart Disease,4,,2.434719094,,2.524309117
2012,S08000020,,0-44 years,,Females,,Coronary Heart Disease,1,,0.626319185,,0.550027776
2012,S08000020,,45-64 years,,Males,,Coronary Heart Disease,74,,95.36328256,,95.81584624
2012,S08000020,,45-64 years,,Females,,Coronary Heart Disease,17,,21.84500328,,22.13390103
2012,S08000020,,65-74 years,,Males,,Coronary Heart Disease,88,,357.3313843,,369.2830856
2012,S08000020,,65-74 years,,Females,,Coronary Heart Disease,44,,163.9894152,,167.5709129
2012,S08000020,,75plus years,,Males,,Coronary Heart Disease,223,,1303.102904,,1417.313021
2012,S08000020,,75plus years,,Females,,Coronary Heart Disease,284,,1115.606709,,1082.384921
2012,S08000022,,0-44 years,,Males,,Coronary Heart Disease,3,,3.761000928,,4.034813029
2012,S08000022,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000022,,45-64 years,,Males,,Coronary Heart Disease,50,,106.096293,,104.3213014
2012,S08000022,,45-64 years,,Females,,Coronary Heart Disease,14,,28.63688431,,27.81063361
2012,S08000022,,65-74 years,,Males,,Coronary Heart Disease,70,,393.7893789,,414.3973136
2012,S08000022,,65-74 years,,Females,,Coronary Heart Disease,23,,121.7446538,,123.9431268
2012,S08000022,,75plus years,,Males,,Coronary Heart Disease,135,,1169.13484,,1340.327984
2012,S08000022,,75plus years,,Females,,Coronary Heart Disease,156,,917.215428,,881.9462592
2012,S08000024,,0-44 years,,Males,,Coronary Heart Disease,10,,4.019034146,,4.252603525
2012,S08000024,,0-44 years,,Females,,Coronary Heart Disease,4,,1.595424323,,1.698194445
2012,S08000024,,45-64 years,,Males,,Coronary Heart Disease,122,,115.4308314,,119.5659924
2012,S08000024,,45-64 years,,Females,,Coronary Heart Disease,30,,27.48813429,,28.45219828
2012,S08000024,,65-74 years,,Males,,Coronary Heart Disease,137,,420.374348,,426.6167988
2012,S08000024,,65-74 years,,Females,,Coronary Heart Disease,61,,163.9168055,,166.6526945
2012,S08000024,,75plus years,,Males,,Coronary Heart Disease,309,,1328.917943,,1426.266948
2012,S08000024,,75plus years,,Females,,Coronary Heart Disease,356,,980.12224,,944.6991955
2012,S08000025,,0-44 years,,Males,,Coronary Heart Disease,0,,0,,0
2012,S08000025,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000025,,45-64 years,,Males,,Coronary Heart Disease,,c,,c,91.11692168
