FinancialYear,HBR,HBRQF,AdmissionType,AdmissionTypeQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDischarges,NumberOfDischargesQF,CrudeRate,CrudeRateQF,EASR
2012/13,S08000015,,All,d,0-44 years,,Males,,Coronary Heart Disease,85,,90.40725811,,94.94039444
2012/13,S08000015,,All,d,0-44 years,,Females,,Coronary Heart Disease,24,,24.85321072,,24.36125228
2012/13,S08000015,,All,d,45-64 years,,Males,,Coronary Heart Disease,1168,,2250.091506,,2244.846128
2012/13,S08000015,,All,d,45-64 years,,Females,,Coronary Heart Disease,393,,700.0106872,,698.9766461
2012/13,S08000015,,All,d,65-74 years,,Males,,Coronary Heart Disease,781,,3957.03501,,4024.334838
2012/13,S08000015,,All,d,65-74 years,,Females,,Coronary Heart Disease,418,,1899.395647,,1937.542694
2012/13,S08000015,,All,d,75plus years,,Males,,Coronary Heart Disease,723,,5557.690829,,5513.015538
2012/13,S08000015,,All,d,75plus years,,Females,,Coronary Heart Disease,695,,3504.790721,,3451.271022
2012/13,S08000016,,All,d,0-44 years,,Males,,Coronary Heart Disease,14,,52.28367629,,52.75703959
2012/13,S08000016,,All,d,0-44 years,,Females,,Coronary Heart Disease,9,,33.0141961,,26.87552791
2012/13,S08000016,,All,d,45-64 years,,Males,,Coronary Heart Disease,277,,1617.234937,,1608.405135
2012/13,S08000016,,All,d,45-64 years,,Females,,Coronary Heart Disease,67,,380.314469,,377.3351583
2012/13,S08000016,,All,d,65-74 years,,Males,,Coronary Heart Disease,223,,3344.331134,,3394.587514
2012/13,S08000016,,All,d,65-74 years,,Females,,Coronary Heart Disease,111,,1542.738013,,1556.534257
2012/13,S08000016,,All,d,75plus years,,Males,,Coronary Heart Disease,233,,5054.229935,,5182.32889
2012/13,S08000016,,All,d,75plus years,,Females,,Coronary Heart Disease,179,,2769.183168,,2730.312862
2012/13,S08000017,,All,d,0-44 years,,Males,,Coronary Heart Disease,30,,84.736188,,85.60959694
2012/13,S08000017,,All,d,0-44 years,,Females,,Coronary Heart Disease,6,,16.772895,,14.62263166
2012/13,S08000017,,All,d,45-64 years,,Males,,Coronary Heart Disease,373,,1681.316205,,1664.296843
2012/13,S08000017,,All,d,45-64 years,,Females,,Coronary Heart Disease,111,,479.8132619,,474.7442374
2012/13,S08000017,,All,d,65-74 years,,Males,,Coronary Heart Disease,402,,4422.442244,,4490.149459
2012/13,S08000017,,All,d,65-74 years,,Females,,Coronary Heart Disease,125,,1278.903213,,1310.302284
2012/13,S08000017,,All,d,75plus years,,Males,,Coronary Heart Disease,328,,5020.66432,,5174.893571
2012/13,S08000017,,All,d,75plus years,,Females,,Coronary Heart Disease,190,,2123.379526,,2091.569723
2012/13,S08000019,,All,d,0-44 years,,Males,,Coronary Heart Disease,66,,80.56640625,,81.04353342
2012/13,S08000019,,All,d,0-44 years,,Females,,Coronary Heart Disease,19,,22.98127631,,21.69564599
2012/13,S08000019,,All,d,45-64 years,,Males,,Coronary Heart Disease,516,,1265.233063,,1280.737696
2012/13,S08000019,,All,d,45-64 years,,Females,,Coronary Heart Disease,195,,461.4401666,,470.9837478
2012/13,S08000019,,All,d,65-74 years,,Males,,Coronary Heart Disease,387,,2828.947368,,2831.696911
2012/13,S08000019,,All,d,65-74 years,,Females,,Coronary Heart Disease,235,,1529.350514,,1549.252934
2012/13,S08000019,,All,d,75plus years,,Males,,Coronary Heart Disease,349,,3887.713044,,3852.552376
2012/13,S08000019,,All,d,75plus years,,Females,,Coronary Heart Disease,260,,1936.108422,,1923.737322
2012/13,S08000020,,All,d,0-44 years,,Males,,Coronary Heart Disease,91,,55.38985939,,58.80380035
2012/13,S08000020,,All,d,0-44 years,,Females,,Coronary Heart Disease,29,,18.16325636,,18.99786519
2012/13,S08000020,,All,d,45-64 years,,Males,,Coronary Heart Disease,1272,,1639.217506,,1651.694614
2012/13,S08000020,,All,d,45-64 years,,Females,,Coronary Heart Disease,434,,557.6900837,,565.9405855
2012/13,S08000020,,All,d,65-74 years,,Males,,Coronary Heart Disease,974,,3955.00873,,4033.695168
2012/13,S08000020,,All,d,65-74 years,,Females,,Coronary Heart Disease,469,,1747.978085,,1781.211738
2012/13,S08000020,,All,d,75plus years,,Males,,Coronary Heart Disease,895,,5229.942149,,5234.838289
2012/13,S08000020,,All,d,75plus years,,Females,,Coronary Heart Disease,812,,3189.692423,,3212.375392
2012/13,S08000022,,All,d,0-44 years,,Males,,Coronary Heart Disease,67,,83.99568739,,85.14792782
2012/13,S08000022,,All,d,0-44 years,,Females,,Coronary Heart Disease,16,,20.30559927,,18.95658423
2012/13,S08000022,,All,d,45-64 years,,Males,,Coronary Heart Disease,896,,1901.24557,,1883.413943
2012/13,S08000022,,All,d,45-64 years,,Females,,Coronary Heart Disease,270,,552.2827688,,546.6345618
2012/13,S08000022,,All,d,65-74 years,,Males,,Coronary Heart Disease,649,,3650.990099,,3669.325148
2012/13,S08000022,,All,d,65-74 years,,Females,,Coronary Heart Disease,302,,1598.560237,,1615.397319
2012/13,S08000022,,All,d,75plus years,,Males,,Coronary Heart Disease,605,,5239.456136,,5219.469097
2012/13,S08000022,,All,d,75plus years,,Females,,Coronary Heart Disease,428,,2516.462841,,2494.225795
2012/13,S08000024,,All,d,0-44 years,,Males,,Coronary Heart Disease,142,,57.07028487,,61.41148088
2012/13,S08000024,,All,d,0-44 years,,Females,,Coronary Heart Disease,36,,14.35881891,,15.18063189
2012/13,S08000024,,All,d,45-64 years,,Males,,Coronary Heart Disease,1383,,1308.531474,,1344.988326
2012/13,S08000024,,All,d,45-64 years,,Females,,Coronary Heart Disease,427,,391.247778,,402.3555418
2012/13,S08000024,,All,d,65-74 years,,Males,,Coronary Heart Disease,998,,3062.289046,,3109.755083
2012/13,S08000024,,All,d,65-74 years,,Females,,Coronary Heart Disease,453,,1217.283818,,1229.658986
2012/13,S08000024,,All,d,75plus years,,Males,,Coronary Heart Disease,861,,3702.907277,,3764.460424
2012/13,S08000024,,All,d,75plus years,,Females,,Coronary Heart Disease,711,,1957.491328,,1921.56501
2012/13,S08000025,,All,d,0-44 years,,Males,,Coronary Heart Disease,,c,,c,18.05426597
2012/13,S08000025,,All,d,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000025,,All,d,45-64 years,,Males,,Coronary Heart Disease,,c,,c,1643.453145
2012/13,S08000025,,All,d,45-64 years,,Females,,Coronary Heart Disease,,c,,c,633.4822702
2012/13,S08000025,,All,d,65-74 years,,Males,,Coronary Heart Disease,,c,,c,3645.176109
2012/13,S08000025,,All,d,65-74 years,,Females,,Coronary Heart Disease,,c,,c,1778.811105
2012/13,S08000025,,All,d,75plus years,,Males,,Coronary Heart Disease,,c,,c,4901.338083
2012/13,S08000025,,All,d,75plus years,,Females,,Coronary Heart Disease,,c,,c,2671.301309
2012/13,S08000026,,All,d,0-44 years,,Males,,Coronary Heart Disease,,c,,c,97.78513004
2012/13,S08000026,,All,d,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000026,,All,d,45-64 years,,Males,,Coronary Heart Disease,,c,,c,1296.864094
2012/13,S08000026,,All,d,45-64 years,,Females,,Coronary Heart Disease,,c,,c,760.4788694
2012/13,S08000026,,All,d,65-74 years,,Males,,Coronary Heart Disease,,c,,c,2661.984313
2012/13,S08000026,,All,d,65-74 years,,Females,,Coronary Heart Disease,,c,,c,1970.181514
2012/13,S08000026,,All,d,75plus years,,Males,,Coronary Heart Disease,,c,,c,1957.145351
2012/13,S08000026,,All,d,75plus years,,Females,,Coronary Heart Disease,,c,,c,2401.443108
2012/13,S08000028,,All,d,0-44 years,,Males,,Coronary Heart Disease,,c,,c,89.3117527
2012/13,S08000028,,All,d,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012/13,S08000028,,All,d,45-64 years,,Males,,Coronary Heart Disease,,c,,c,1838.146439
2012/13,S08000028,,All,d,45-64 years,,Females,,Coronary Heart Disease,,c,,c,568.7200999
2012/13,S08000028,,All,d,65-74 years,,Males,,Coronary Heart Disease,,c,,c,5415.15817
2012/13,S08000028,,All,d,65-74 years,,Females,,Coronary Heart Disease,,c,,c,1833.134882
2012/13,S08000028,,All,d,75plus years,,Males,,Coronary Heart Disease,,c,,c,6582.22587
2012/13,S08000028,,All,d,75plus years,,Females,,Coronary Heart Disease,,c,,c,2110.60686
2012/13,S08000029,,All,d,0-44 years,,Males,,Coronary Heart Disease,77,,78.70233143,,79.96942857
2012/13,S08000029,,All,d,0-44 years,,Females,,Coronary Heart Disease,31,,31.24086709,,29.75700265
2012/13,S08000029,,All,d,45-64 years,,Males,,Coronary Heart Disease,850,,1707.204403,,1718.393608
2012/13,S08000029,,All,d,45-64 years,,Females,,Coronary Heart Disease,267,,511.4746561,,516.5701227
